Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Pagophilus,groenlandicus,54.25,11.25,1501:141:1,0.07
Pagophilus,groenlandicus,54.25,11.75,1501:141:2,0.03
Pagophilus,groenlandicus,54.75,11.25,1501:141:3,0.04
Pagophilus,groenlandicus,54.75,11.75,1501:141:4,0.02
Pagophilus,groenlandicus,54.25,12.25,1501:142:1,0.02
Pagophilus,groenlandicus,54.25,12.75,1501:142:2,0.03
Pagophilus,groenlandicus,54.75,12.25,1501:142:3,0.03
Pagophilus,groenlandicus,54.75,12.75,1501:142:4,0.02
Pagophilus,groenlandicus,54.25,13.25,1501:143:1,0.02
Pagophilus,groenlandicus,54.25,13.75,1501:143:2,0.02
Pagophilus,groenlandicus,54.75,13.25,1501:143:3,0.01
Pagophilus,groenlandicus,54.75,13.75,1501:143:4,0.01
Pagophilus,groenlandicus,54.25,14.25,1501:144:1,0.04
Pagophilus,groenlandicus,54.25,14.75,1501:144:2,0.04
Pagophilus,groenlandicus,54.75,14.25,1501:144:3,0.03
Pagophilus,groenlandicus,54.75,14.75,1501:144:4,0.01
Pagophilus,groenlandicus,54.25,15.25,1501:245:1,0.03
Pagophilus,groenlandicus,54.25,15.75,1501:245:2,0.03
Pagophilus,groenlandicus,54.75,15.25,1501:245:3,0.01
Pagophilus,groenlandicus,54.75,15.75,1501:245:4,0.01
Pagophilus,groenlandicus,54.25,16.25,1501:246:1,0.03
Pagophilus,groenlandicus,54.75,16.25,1501:246:3,0.02
Pagophilus,groenlandicus,54.75,16.75,1501:246:4,0.02
Pagophilus,groenlandicus,54.75,17.25,1501:247:3,0.03
Pagophilus,groenlandicus,54.75,17.75,1501:247:4,0.02
Pagophilus,groenlandicus,54.25,18.75,1501:248:2,0.03
Pagophilus,groenlandicus,54.75,18.25,1501:248:3,0.01
Pagophilus,groenlandicus,54.75,18.75,1501:248:4,0.04
Pagophilus,groenlandicus,54.25,19.25,1501:249:1,0.02
Pagophilus,groenlandicus,54.25,19.75,1501:249:2,0.03
Pagophilus,groenlandicus,54.75,19.25,1501:249:3,0.05
Pagophilus,groenlandicus,54.75,19.75,1501:249:4,0.04
Pagophilus,groenlandicus,55.25,10.25,1501:350:1,0.1
Pagophilus,groenlandicus,55.25,10.75,1501:350:2,0.14
Pagophilus,groenlandicus,55.75,10.25,1501:350:3,0.14
Pagophilus,groenlandicus,55.75,10.75,1501:350:4,0.09
Pagophilus,groenlandicus,55.25,11.25,1501:351:1,0.08
Pagophilus,groenlandicus,55.25,11.75,1501:351:2,0.1
Pagophilus,groenlandicus,55.75,11.25,1501:351:3,0.09
Pagophilus,groenlandicus,55.75,11.75,1501:351:4,0.1
Pagophilus,groenlandicus,55.25,12.25,1501:352:1,0.09
Pagophilus,groenlandicus,55.25,12.75,1501:352:2,0.02
Pagophilus,groenlandicus,55.75,12.25,1501:352:3,0.11
Pagophilus,groenlandicus,55.75,12.75,1501:352:4,0.1
Pagophilus,groenlandicus,55.25,13.25,1501:353:1,0.01
Pagophilus,groenlandicus,55.25,13.75,1501:353:2,0.01
Pagophilus,groenlandicus,55.75,13.25,1501:353:3,0.09
Pagophilus,groenlandicus,55.25,14.25,1501:354:1,0.02
Pagophilus,groenlandicus,55.25,14.75,1501:354:2,0.01
Pagophilus,groenlandicus,55.75,14.25,1501:354:3,0.03
Pagophilus,groenlandicus,55.75,14.75,1501:354:4,0.04
Pagophilus,groenlandicus,56.75,10.25,1501:360:3,0.13
Pagophilus,groenlandicus,56.75,10.75,1501:360:4,0.18
Pagophilus,groenlandicus,56.25,11.25,1501:361:1,0.1
Pagophilus,groenlandicus,56.75,11.25,1501:361:3,0.1
Pagophilus,groenlandicus,56.25,12.25,1501:362:1,0.15
Pagophilus,groenlandicus,56.25,14.75,1501:364:2,0.05
Pagophilus,groenlandicus,57.25,11.25,1501:371:1,0.17
Pagophilus,groenlandicus,57.75,11.75,1501:371:4,0.16
Pagophilus,groenlandicus,58.25,11.75,1501:381:2,0.03
Pagophilus,groenlandicus,59.75,10.25,1501:390:3,0.06
Pagophilus,groenlandicus,55.25,15.75,1501:455:2,0.01
Pagophilus,groenlandicus,55.75,15.25,1501:455:3,0.01
Pagophilus,groenlandicus,55.75,15.75,1501:455:4,0.01
Pagophilus,groenlandicus,55.25,16.25,1501:456:1,0.01
Pagophilus,groenlandicus,55.25,16.75,1501:456:2,0.01
Pagophilus,groenlandicus,55.75,16.25,1501:456:3,0.01
Pagophilus,groenlandicus,55.75,16.75,1501:456:4,0.01
Pagophilus,groenlandicus,55.25,17.25,1501:457:1,0.02
Pagophilus,groenlandicus,55.25,17.75,1501:457:2,0.03
Pagophilus,groenlandicus,55.75,17.75,1501:457:4,0.01
Pagophilus,groenlandicus,55.25,18.25,1501:458:1,0.05
Pagophilus,groenlandicus,55.25,18.75,1501:458:2,0.04
Pagophilus,groenlandicus,55.75,18.25,1501:458:3,0.01
Pagophilus,groenlandicus,55.75,18.75,1501:458:4,0.02
Pagophilus,groenlandicus,55.25,19.25,1501:459:1,0.04
Pagophilus,groenlandicus,55.25,19.75,1501:459:2,0.05
Pagophilus,groenlandicus,55.75,19.25,1501:459:3,0.03
Pagophilus,groenlandicus,55.75,19.75,1501:459:4,0.04
Pagophilus,groenlandicus,56.25,15.25,1501:465:1,0.03
Pagophilus,groenlandicus,56.25,15.75,1501:465:2,0.02
Pagophilus,groenlandicus,56.25,16.25,1501:466:1,0.01
Pagophilus,groenlandicus,56.75,16.25,1501:466:3,0.02
