id,left,top,right,bottom,Commonname,Validname,Family,Class,Order,RES,Type,OBJECTID,Id_2,Shape_Leng,Shape_Area,Area
96905.000000000000000,-45.500000000000000,58.000000000000000,-45.000000000000000,57.500000000000000,North Atantic right whale,Eubalaena glacialis,Balaenidae,Mammalia,Cetartiodactyla,0.170000000000000,Suitable habitat,"1","0",1214.75767752000,2198.85693061000,0.0000168605
96906.000000000000000,-45.500000000000000,57.500000000000000,-45.000000000000000,57.000000000000000,North Atantic right whale,Eubalaena glacialis,Balaenidae,Mammalia,Cetartiodactyla,0.080000000000000,Suitable habitat,"1","0",1214.75767752000,2198.85693061000,0.0000149982
96907.000000000000000,-45.500000000000000,57.000000000000000,-45.000000000000000,56.500000000000000,North Atantic right whale,Eubalaena glacialis,Balaenidae,Mammalia,Cetartiodactyla,0.080000000000000,Suitable habitat,"1","0",1214.75767752000,2198.85693061000,0.0000130785
96908.000000000000000,-45.500000000000000,56.500000000000000,-45.000000000000000,56.000000000000000,North Atantic right whale,Eubalaena glacialis,Balaenidae,Mammalia,Cetartiodactyla,0.080000000000000,Suitable habitat,"1","0",1214.75767752000,2198.85693061000,0.0000111016
96909.000000000000000,-45.500000000000000,56.000000000000000,-45.000000000000000,55.500000000000000,North Atantic right whale,Eubalaena glacialis,Balaenidae,Mammalia,Cetartiodactyla,0.120000000000000,Suitable habitat,"1","0",1214.75767752000,2198.85693061000,0.0000090683
96910.000000000000000,-45.500000000000000,55.500000000000000,-45.000000000000000,55.000000000000000,North Atantic right whale,Eubalaena glacialis,Balaenidae,Mammalia,Cetartiodactyla,0.100000000000000,Suitable habitat,"1","0",1214.75767752000,2198.85693061000,0.0000069788
96911.000000000000000,-45.500000000000000,55.000000000000000,-45.000000000000000,54.500000000000000,North Atantic right whale,Eubalaena glacialis,Balaenidae,Mammalia,Cetartiodactyla,0.110000000000000,Suitable habitat,"1","0",1214.75767752000,2198.85693061000,0.0000048339
96912.000000000000000,-45.500000000000000,54.500000000000000,-45.000000000000000,54.000000000000000,North Atantic right whale,Eubalaena glacialis,Balaenidae,Mammalia,Cetartiodactyla,0.100000000000000,Suitable habitat,"1","0",1214.75767752000,2198.85693061000,0.0000030664
96913.000000000000000,-45.500000000000000,54.000000000000000,-45.000000000000000,53.500000000000000,North Atantic right whale,Eubalaena glacialis,Balaenidae,Mammalia,Cetartiodactyla,0.080000000000000,Suitable habitat,"1","0",1214.75767752000,2198.85693061000,0.0000029344
96914.000000000000000,-45.500000000000000,53.500000000000000,-45.000000000000000,53.000000000000000,North Atantic right whale,Eubalaena glacialis,Balaenidae,Mammalia,Cetartiodactyla,0.000000000000000,Suitable habitat,"1","0",1214.75767752000,2198.85693061000,0.0000029689
96915.000000000000000,-45.500000000000000,53.000000000000000,-45.000000000000000,52.500000000000000,North Atantic right whale,Eubalaena glacialis,Balaenidae,Mammalia,Cetartiodactyla,0.000000000000000,Suitable habitat,"1","0",1214.75767752000,2198.85693061000,0.0000030032
96916.000000000000000,-45.500000000000000,52.500000000000000,-45.000000000000000,52.000000000000000,North Atantic right whale,Eubalaena glacialis,Balaenidae,Mammalia,Cetartiodactyla,0.000000000000000,Suitable habitat,"1","0",1214.75767752000,2198.85693061000,0.0000030372
96917.000000000000000,-45.500000000000000,52.000000000000000,-45.000000000000000,51.500000000000000,North Atantic right whale,Eubalaena glacialis,Balaenidae,Mammalia,Cetartiodactyla,0.000000000000000,Suitable habitat,"1","0",1214.75767752000,2198.85693061000,0.0000030709
96918.000000000000000,-45.500000000000000,51.500000000000000,-45.000000000000000,51.000000000000000,North Atantic right whale,Eubalaena glacialis,Balaenidae,Mammalia,Cetartiodactyla,0.000000000000000,Suitable habitat,"1","0",1214.75767752000,2198.85693061000,0.0000031045
96919.000000000000000,-45.500000000000000,51.000000000000000,-45.000000000000000,50.500000000000000,North Atantic right whale,Eubalaena glacialis,Balaenidae,Mammalia,Cetartiodactyla,0.000000000000000,Suitable habitat,"1","0",1214.75767752000,2198.85693061000,0.0000031377
96920.000000000000000,-45.500000000000000,50.500000000000000,-45.000000000000000,50.000000000000000,North Atantic right whale,Eubalaena glacialis,Balaenidae,Mammalia,Cetartiodactyla,0.060000000000000,Suitable habitat,"1","0",1214.75767752000,2198.85693061000,0.0000031708
96921.000000000000000,-45.500000000000000,50.000000000000000,-45.000000000000000,49.500000000000000,North Atantic right whale,Eubalaena glacialis,Balaenidae,Mammalia,Cetartiodactyla,0.140000000000000,Suitable habitat,"1","0",1214.75767752000,2198.85693061000,0.0000032035
96922.000000000000000,-45.500000000000000,49.500000000000000,-45.000000000000000,49.000000000000000,North Atantic right whale,Eubalaena glacialis,Balaenidae,Mammalia,Cetartiodactyla,0.400000000000000,Suitable habitat,"1","0",1214.75767752000,2198.85693061000,0.0000032361
96923.000000000000000,-45.500000000000000,49.000000000000000,-45.000000000000000,48.500000000000000,North Atantic right whale,Eubalaena glacialis,Balaenidae,Mammalia,Cetartiodactyla,0.670000000000000,Suitable habitat,"1","0",1214.75767752000,2198.85693061000,0.0000032683
96924.000000000000000,-45.500000000000000,48.500000000000000,-45.000000000000000,48.000000000000000,North Atantic right whale,Eubalaena glacialis,Balaenidae,Mammalia,Cetartiodactyla,0.810000000000000,Suitable habitat,"1","0",1214.75767752000,2198.85693061000,0.0000033004
96925.000000000000000,-45.500000000000000,48.000000000000000,-45.000000000000000,47.500000000000000,North Atantic right whale,Eubalaena glacialis,Balaenidae,Mammalia,Cetartiodactyla,0.930000000000000,Suitable habitat,"1","0",1214.75767752000,2198.85693061000,0.0000033321
