"Internal_reference","Survey","Polygon","Commonname","Validname","Family","Class","Order","RES","Type","Partial_cell_area","Density","Uncertainty","Uncertainty_measure","CI_95_low","CI_95_high","Location","Study_area"
"007_Doniol-Valcroze et al (2020)_HACS","Admiralty Inlet","AI","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.56,"Native Range",472.464754468506,0.0181175430844012,0.97,"CV abundance",0.00287229341581971,0.112682280159081,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","Admiralty Inlet","AI","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.5,"Native Range",163.375863371675,0.0181175430844012,0.97,"CV abundance",0.00287229341581971,0.112682280159081,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","Admiralty Inlet","AI","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.57,"Native Range",345.130259042376,0.0181175430844012,0.97,"CV abundance",0.00287229341581971,0.112682280159081,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","Admiralty Inlet","AI","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.54,"Native Range",115.127437603505,0.0181175430844012,0.97,"CV abundance",0.00287229341581971,0.112682280159081,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","Admiralty Inlet","AI","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.61,"Native Range",178.955348246597,0.0181175430844012,0.97,"CV abundance",0.00287229341581971,0.112682280159081,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","Cumberland Sound (high)","CS (high)","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",1,"Native Range",339.580913955502,0.274175824175824,0.49,"CV abundance",0.0779120879120879,0.964945054945055,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","Cumberland Sound (high)","CS (high)","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.15,"Native Range",253.968673546394,0.274175824175824,0.49,"CV abundance",0.0779120879120879,0.964945054945055,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","Cumberland Sound (high)","CS (high)","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.53,"Native Range",797.41535611615,0.274175824175824,0.49,"CV abundance",0.0779120879120879,0.964945054945055,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","Cumberland Sound (high)","CS (high)","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.73,"Native Range",1102.32106175976,0.274175824175824,0.49,"CV abundance",0.0779120879120879,0.964945054945055,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","Cumberland Sound (high)","CS (high)","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.45,"Native Range",1148.6468159453,0.274175824175824,0.49,"CV abundance",0.0779120879120879,0.964945054945055,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","Cumberland Sound (high)","CS (high)","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.46,"Native Range",1302.65609361652,0.274175824175824,0.49,"CV abundance",0.0779120879120879,0.964945054945055,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","Cumberland Sound (high)","CS (high)","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",1,"Native Range",182.497753520722,0.274175824175824,0.49,"CV abundance",0.0779120879120879,0.964945054945055,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","Cumberland Sound (high)","CS (high)","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.71,"Native Range",1186.54251323022,0.274175824175824,0.49,"CV abundance",0.0779120879120879,0.964945054945055,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","Cumberland Sound (high)","CS (high)","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.46,"Native Range",1171.77344938861,0.274175824175824,0.49,"CV abundance",0.0779120879120879,0.964945054945055,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","Cumberland Sound (high)","CS (high)","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.76,"Native Range",474.503642173668,0.274175824175824,0.49,"CV abundance",0.0779120879120879,0.964945054945055,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","Cumberland Sound (high)","CS (high)","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.68,"Native Range",703.366910090105,0.274175824175824,0.49,"CV abundance",0.0779120879120879,0.964945054945055,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","Cumberland Sound (high)","CS (high)","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.75,"Native Range",204.470010105838,0.274175824175824,0.49,"CV abundance",0.0779120879120879,0.964945054945055,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","Cumberland Sound (high)","CS (high)","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.92,"Native Range",167.708044966199,0.274175824175824,0.49,"CV abundance",0.0779120879120879,0.964945054945055,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","Cumberland Sound (low)","CS (low)","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.3,"Native Range",216.401132356563,0.013374143322909,0.54,"CV abundance",0.00286113513873179,0.0626122829196886,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","Cumberland Sound (low)","CS (low)","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.2,"Native Range",303.162360905056,0.013374143322909,0.54,"CV abundance",0.00286113513873179,0.0626122829196886,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","Cumberland Sound (low)","CS (low)","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.5,"Native Range",616.467295227551,0.013374143322909,0.54,"CV abundance",0.00286113513873179,0.0626122829196886,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","Cumberland Sound (low)","CS (low)","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.95,"Native Range",775.743963906714,0.013374143322909,0.54,"CV abundance",0.00286113513873179,0.0626122829196886,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","Cumberland Sound (low)","CS (low)","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",1,"Native Range",663.826322640434,0.013374143322909,0.54,"CV abundance",0.00286113513873179,0.0626122829196886,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","Cumberland Sound (low)","CS (low)","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.78,"Native Range",958.49531593432,0.013374143322909,0.54,"CV abundance",0.00286113513873179,0.0626122829196886,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","Cumberland Sound (low)","CS (low)","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.53,"Native Range",480.64590109668,0.013374143322909,0.54,"CV abundance",0.00286113513873179,0.0626122829196886,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","Cumberland Sound (low)","CS (low)","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.73,"Native Range",472.807312601156,0.013374143322909,0.54,"CV abundance",0.00286113513873179,0.0626122829196886,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","Cumberland Sound (low)","CS (low)","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",1,"Native Range",173.497209038041,0.013374143322909,0.54,"CV abundance",0.00286113513873179,0.0626122829196886,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","Cumberland Sound (low)","CS (low)","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.96,"Native Range",640.533511192407,0.013374143322909,0.54,"CV abundance",0.00286113513873179,0.0626122829196886,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","Cumberland Sound (low)","CS (low)","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.68,"Native Range",515.022335754028,0.013374143322909,0.54,"CV abundance",0.00286113513873179,0.0626122829196886,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","Cumberland Sound (low)","CS (low)","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.73,"Native Range",1099.84983827722,0.013374143322909,0.54,"CV abundance",0.00286113513873179,0.0626122829196886,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","Cumberland Sound (low)","CS (low)","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",1,"Native Range",415.570445614267,0.013374143322909,0.54,"CV abundance",0.00286113513873179,0.0626122829196886,"Northwest Atlantic","N"
